subject_number,SESSID,run,mean_tSNR,median_tSNR
sub-01,SESS01,1,38.594767,39.095156
sub-01,SESS02,2,38.751194,39.020927
sub-01,SESS03,3,41.564808,42.094893
sub-01,SESS04,4,40.601705,40.983959
sub-01,SESS05,5,39.619482,40.077161
sub-01,SESS06,6,41.724529,42.395907
sub-02,SESS01,1,38.946633,38.105102
sub-02,SESS02,2,44.766818,44.845702
sub-02,SESS03,3,43.590721,43.044502
sub-02,SESS04,4,45.082205,44.88788
sub-02,SESS05,5,44.929473,45.104963
sub-02,SESS06,6,41.265849,41.120829
sub-03,SESS01,1,37.129202,36.961672
sub-03,SESS02,2,40.415906,39.914483
sub-03,SESS03,3,39.049949,38.536874
sub-03,SESS04,4,37.943551,37.59064
sub-03,SESS05,5,39.785366,39.94602
sub-03,SESS06,6,39.756671,39.517428
sub-04,SESS01,1,34.378575,33.531285
sub-04,SESS02,2,36.181359,35.288428
sub-04,SESS03,3,35.204074,34.599494
sub-04,SESS04,4,34.029212,33.263418
sub-04,SESS05,5,40.305225,39.647731
sub-04,SESS06,6,41.562635,40.968951
sub-05,SESS01,1,49.127676,48.197235
sub-05,SESS02,2,45.117973,44.266722
sub-05,SESS03,3,44.059949,43.5764
sub-05,SESS04,4,40.222915,39.671508
sub-05,SESS05,5,35.069364,34.752786
sub-05,SESS06,6,37.31975,37.133668
sub-06,SESS01,1,26.379889,25.887582
sub-06,SESS02,2,32.28992,32.055604
sub-06,SESS03,3,36.219153,35.560601
sub-06,SESS04,4,33.665879,33.253045
sub-06,SESS05,5,30.733272,30.40073
sub-06,SESS06,6,35.200373,34.709464
sub-07,SESS01,1,34.844947,34.544611
sub-07,SESS02,2,35.530403,35.274335
sub-07,SESS03,3,33.97377,33.784475
sub-07,SESS04,4,30.479463,30.418605
sub-07,SESS05,5,30.384512,30.310903
sub-07,SESS06,6,29.124512,28.993268
sub-08,SESS01,1,39.623921,39.895991
sub-08,SESS02,2,37.700368,38.077103
sub-08,SESS03,3,31.638912,31.825825
sub-08,SESS04,4,36.663513,37.12568
sub-08,SESS05,5,28.343823,28.484365
sub-08,SESS06,6,38.074552,38.354463
sub-09,SESS01,1,40.510474,40.465326
sub-09,SESS02,2,41.82513,41.82543
sub-09,SESS03,3,42.21423,42.114282
sub-09,SESS04,4,41.150151,41.184329
sub-09,SESS05,5,41.173115,40.940921
sub-09,SESS06,6,39.900375,39.84646
sub-10,SESS01,1,45.530647,44.194705
sub-10,SESS02,2,46.989598,46.657258
sub-10,SESS03,3,45.565677,44.55196
sub-10,SESS04,4,40.186853,38.337231
sub-10,SESS05,5,39.195726,37.202469
sub-10,SESS06,6,38.341117,35.916572
sub-11,SESS01,1,44.222806,43.270957
sub-11,SESS02,2,47.469359,46.578187
sub-11,SESS03,3,48.226336,47.306598
sub-11,SESS04,4,50.612639,49.571626
sub-11,SESS05,5,47.732659,46.957018
sub-11,SESS06,6,47.878827,47.007843
sub-12,SESS01,1,45.530043,45.565397
sub-12,SESS02,2,48.605063,48.17405
sub-12,SESS03,3,48.91784,48.657677
sub-12,SESS04,4,48.528756,48.229359
sub-12,SESS05,5,48.400928,48.010469
sub-12,SESS06,6,47.856719,48.005081
sub-13,SESS01,1,37.915394,38.181865
sub-13,SESS02,2,37.885656,38.33134
sub-13,SESS03,3,33.947318,34.172152
sub-13,SESS04,4,36.431045,36.898871
sub-13,SESS05,5,35.789286,36.267616
sub-13,SESS06,6,34.263249,34.721387
sub-14,SESS01,1,35.978524,35.942942
sub-14,SESS02,2,46.202361,46.509154
sub-14,SESS03,3,47.34541,47.755661
sub-14,SESS04,4,46.095807,46.743659
sub-14,SESS05,5,48.853646,49.791622
sub-14,SESS06,6,47.112212,47.904907
sub-15,SESS01,1,39.589407,39.104581
sub-15,SESS02,2,43.575464,43.134207
sub-15,SESS03,3,42.146453,41.580449
sub-15,SESS04,4,28.342176,27.745057
sub-15,SESS05,5,31.31707,29.750466
sub-15,SESS06,6,40.511801,40.458318
sub-16,SESS01,1,45.316582,44.82367
sub-16,SESS02,2,45.572075,45.638815
